Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
2,91300,91280.9,91276.9,91272.4,91609.1
9,91480,91489.4,91486.7,91482.5,91820
6,91700,91697.8,91696.4,91692.7,92030.8
1,91920,91906.2,91906.2,91902.8,92241.7
3,92130,92114.7,92116,92112.9,92452.6
7,92300,92323.1,92325.7,92323.1,92663.4
8,92540,92531.5,92535.5,92533.2,92874.3
4,92720,92740,92745.2,92743.3,93085.2
5,92920,92948.4,92955,92953.5,93296.1
10,93150,93156.8,93164.7,93163.6,93506.9
9,93380,93365.2,93374.5,93373.7,93717.8
2,93590,93573.7,93584.3,93583.9,93928.7
6,93770,93782.1,93794,93794,94139.5
3,93970,93990.5,94003.8,94004.1,94350.4
1,94230,94199,94213.5,94214.3,94561.3
8,94620,94637.8,94633.8,94628.4,94983
7,94850,94847.3,94843.5,94838.7,95193.9
5,95030,95056.8,95053.3,95049.1,95404.7
4,95270,95266.3,95263.1,95259.5,95615.6
9,95430,95475.8,95472.9,95469.9,95826.5
10,95680,95685.4,95682.7,95680.3,96037.3
6,95930,95894.9,95892.5,95890.7,96248.2
2,96140,96104.4,96102.3,96101,96459.1
1,96330,96313.9,96312.1,96311.4,96670
3,96560,96523.4,96521.9,96521.8,96880.8
7,96730,96733,96731.7,96732.2,97091.7
8,96960,96942.5,96941.4,96942.6,97302.6
4,97090,97152,97151.2,97153,97513.4
5,97310,97361.5,97361,97363.3,97724.3
10,97550,97571,97570.8,97573.7,97935.2
9,97770,97780.6,97780.6,97784.1,98146
6,97990,97990.1,97990.4,97994.5,98356.9
1,98180,98199.6,98200.2,98204.9,98567.8
2,98480,98409.1,98410,98415.3,98778.6
3,98640,98618.6,98619.8,98625.6,98989.5
8,99050,99055.6,99043.8,99043.1,99411.2
7,99300,99264.8,99253.7,99253.5,99622.1
5,99480,99473.9,99463.6,99463.9,99833
4,99720,99683.1,99673.6,99674.4,100044
9,99870,99892.2,99883.5,99884.8,100255
10,100080,100101,100093,100095,100466
1,100310,100311,100303,100306,100676
6,100490,100520,100513,100516,100887
3,100680,100729,100723,100726,101098
2,100970,100938,100933,100937,101309
8,101160,101147,101143,101147,101520
5,101330,101356,101353,101358,101731
7,101550,101565,101563,101568,101942
9,101780,101775,101773,101778,102153
4,101980,101984,101982,101989,102363
10,102190,102193,102192,102199,102574
6,102410,102402,102402,102410,102785
1,102610,102611,102612,102620,102996
2,102850,102820,102822,102830,103207
3,103030,103030,103032,103041,103418
5,103440,103465,103455,103448,103839
8,103680,103675,103665,103659,104050
9,103880,103884,103875,103870,104261
7,104100,104093,104085,104081,104472
10,104330,104302,104295,104292,104683
4,104510,104512,104505,104503,104894
1,104700,104721,104715,104714,105105
6,104910,104930,104925,104925,105316
3,105100,105139,105135,105136,105526
2,105380,105349,105344,105347,105737
8,105610,105558,105554,105557,105948
5,105760,105767,105764,105768,106159
7,105970,105976,105974,105979,106370
9,106170,106186,106184,106190,106581
10,106390,106395,106394,106401,106792
1,106560,106604,106604,106612,107003
4,106810,106813,106814,106823,107213
6,106990,107023,107024,107034,107424
2,107290,107232,107234,107245,107635
3,107460,107441,107444,107456,107846
5,107860,107880,107879,107882,108268
8,108080,108092,108089,108093,108479
9,108310,108303,108299,108304,108689
7,108510,108515,108510,108516,108900
1,108660,108726,108720,108727,109111
10,108950,108937,108931,108938,109322
6,109180,109149,109141,109149,109533
4,109400,109360,109352,109360,109744
3,109560,109572,109562,109571,109955
2,109830,109783,109772,109782,110166
5,109970,109995,109983,109994,110376
9,110180,110206,110193,110205,110587
8,110390,110417,110404,110416,110798
7,110600,110629,110614,110627,111009
10,110840,110840,110825,110838,111220
1,111040,111052,111035,111049,111431
6,111290,111263,111245,111260,111642
3,111480,111474,111456,111472,111852
4,111700,111686,111666,111683,112063
2,111930,111897,111877,111894,112274
9,112280,112318,112303,112302,112696
5,112530,112528,112513,112513,112907
7,112680,112738,112724,112724,113118
8,112940,112947,112935,112935,113329
1,113170,113157,113145,113146,113539
10,113370,113367,113356,113358,113750
3,113580,113577,113566,113569,113961
6,113830,113787,113777,113780,114172
2,113980,113997,113988,113991,114383
4,114240,114207,114198,114202,114594
5,114410,114417,114409,114413,114805
9,114600,114627,114619,114624,115016
7,114800,114837,114830,114835,115226
1,115010,115047,115041,115046,115437
8,115260,115257,115251,115257,115648
10,115470,115467,115462,115469,115859
6,115680,115677,115672,115680,116070
3,115880,115887,115883,115891,116281
4,116110,116097,116093,116102,116492
2,116330,116307,116304,116313,116702
9,116720,116733,116734,116735,117124
5,116950,116945,116945,116946,117335
1,117130,117157,117156,117157,117546
7,117330,117369,117366,117369,117757
10,117550,117581,117577,117580,117968
8,117800,117793,117788,117791,118179
3,118000,118005,117999,118003,118389
6,118250,118216,118210,118214,118600
2,118410,118428,118421,118425,118811
4,118640,118640,118632,118637,119022
9,118860,118852,118843,118848,119233
5,119050,119064,119054,119060,119444
7,119260,119276,119265,119271,119655
1,119450,119488,119475,119482,119865
10,119690,119699,119686,119694,120076
3,119860,119911,119897,119905,120287
8,120150,120123,120108,120116,120498
2,120340,120335,120319,120328,120709
6,120610,120547,120530,120539,120920
4,120800,120759,120741,120750,121131
5,121140,121170,121166,121160,121552
9,121370,121382,121377,121372,121763
1,121540,121593,121588,121583,121974
7,121830,121804,121799,121795,122185
3,121970,122016,122010,122007,122396
10,122220,122227,122221,122219,122607
2,122440,122438,122432,122431,122818
8,122670,122650,122643,122642,123029
4,122850,122861,122854,122854,123239
6,123080,123072,123065,123066,123450
5,123300,123284,123276,123278,123661
1,123450,123495,123487,123490,123872
9,123680,123707,123698,123702,124083
7,123900,123918,123909,123913,124294
10,124120,124129,124120,124125,124505
3,124290,124341,124331,124337,124715
8,124590,124552,124542,124549,124926
2,124790,124763,124753,124761,125137
6,124990,124975,124965,124972,125348
4,125220,125186,125176,125184,125559
1,125640,125613,125609,125608,125981
5,125860,125825,125821,125821,126192
7,126060,126037,126032,126033,126402
9,126210,126249,126243,126246,126613
3,126430,126461,126455,126458,126824
10,126640,126673,126666,126670,127035
2,126920,126885,126878,126883,127246
8,127060,127097,127089,127095,127457
4,127330,127309,127300,127308,127668
6,127550,127521,127512,127520,127878
5,127740,127733,127723,127733,128089
1,127910,127945,127935,127945,128300
7,128130,128157,128146,128158,128511
3,128330,128369,128357,128370,128722
9,128560,128581,128569,128583,128933
2,128790,128792,128780,128795,129144
10,128980,129004,128992,129007,129355
4,129220,129216,129203,129220,129565
8,129480,129428,129414,129432,129776
6,129690,129640,129626,129645,129987
1,130080,130065,130061,130071,130409
5,130300,130277,130273,130282,130620
3,130480,130490,130485,130494,130831
7,130700,130702,130696,130706,131042
2,130920,130915,130908,130918,131252
9,131110,131127,131120,131129,131463
4,131320,131340,131332,131341,131674
10,131540,131552,131544,131553,131885
6,131820,131765,131755,131765,132096
8,131970,131977,131967,131977,132307
1,132140,132189,132179,132188,132518
5,132390,132402,132391,132400,132728
7,132610,132614,132602,132612,132939
3,132780,132827,132814,132824,133150
9,133050,133039,133026,133036,133361
2,133220,133252,133238,133247,133572
10,133460,133464,133449,133459,133783
4,133680,133677,133661,133671,133994
8,133920,133889,133873,133883,134205
6,134160,134102,134085,134094,134415
5,134510,134517,134503,134497,134837
1,134720,134727,134714,134709,135048
3,134930,134937,134926,134920,135259
7,135130,135147,135137,135132,135470
2,135390,135357,135349,135344,135681
9,135560,135567,135560,135556,135891
4,135800,135776,135772,135768,136102
10,135990,135986,135983,135979,136313
6,136160,136196,136195,136191,136524
8,136450,136406,136407,136403,136735
1,136600,136616,136618,136615,136946
5,136850,136826,136830,136827,137157
3,137030,137035,137041,137039,137368
2,137260,137245,137253,137250,137578
7,137440,137455,137464,137462,137789
4,137650,137665,137676,137674,138000
9,137850,137875,137888,137886,138211
6,138030,138085,138099,138098,138422
10,138270,138294,138311,138309,138633
8,138560,138504,138522,138521,138844
5,138990,138953,138950,138954,139265
1,139200,139164,139162,139166,139476
2,139420,139375,139373,139378,139687
3,139600,139586,139585,139590,139898
